id,title,author,publication_year,publisher,price,genre
0195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,31,Thriller
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,15,Thriller
0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,33,Young Adult
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,18,Adventure
0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,31,Romance
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,37,Thriller
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,18,Cookbooks
0671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,23,Science
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,27,Travel
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,25,Travel
0771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,24,Science Fiction
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,17,Science Fiction
0887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,37,Self-Help
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,19,Biography
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,28,History
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,12,Romance
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,27,Science
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,13,Thriller
0440234743,The Testament,John Grisham,1999,Dell,14,Thriller
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,37,Fiction
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,34,Mystery
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,24,Fiction
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,28,Memoir
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,28,Thriller
0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,16,Adventure
0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,31,Poetry
0971880107,Wild Animus,Rich Shapero,2004,Too Far,12,Memoir
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,27,Poetry
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,27,Travel
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,24,Graphic Novels
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,31,Historical Fiction
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,31,Fiction
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,36,Biography
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,8,Travel
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,21,Science
3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,14,Science
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,9,Biography
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,11,Self-Help
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,29,Science
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,21,Graphic Novels
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,35,Memoir
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,18,Drama
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,10,Science
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,30,Science Fiction
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,23,Drama
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,29,Adventure
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,28,Self-Help
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,32,Drama
